Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-10-01 00:00:00-04:00,3.9200000762939453,4.0,2.799999952316284,4.0,588,0.0,0.0
2001-10-02 00:00:00-04:00,4.0,4.0,4.0,4.0,0,0.0,0.0
2001-10-03 00:00:00-04:00,2.799999952316284,4.239999771118164,2.799999952316284,3.359999895095825,163,0.0,0.0
2001-10-04 00:00:00-04:00,4.079999923706055,4.159999847412109,4.079999923706055,4.159999847412109,363,0.0,0.0
2001-10-05 00:00:00-04:00,3.440000057220459,3.5999999046325684,3.440000057220459,3.5999999046325684,1138,0.0,0.0
2001-10-08 00:00:00-04:00,4.159999847412109,4.239999771118164,4.0,4.0,375,0.0,0.0
2001-10-09 00:00:00-04:00,4.0,4.0,4.0,4.0,0,0.0,0.0
2001-10-10 00:00:00-04:00,4.0,4.0,3.359999895095825,4.0,1013,0.0,0.0
2001-10-11 00:00:00-04:00,3.200000047683716,4.320000171661377,3.200000047683716,4.320000171661377,763,0.0,0.0
2001-10-12 00:00:00-04:00,4.159999847412109,5.920000076293945,4.159999847412109,5.119999885559082,2850,0.0,0.0
2001-10-15 00:00:00-04:00,5.28000020980835,5.840000152587891,5.28000020980835,5.679999828338623,1700,0.0,0.0
2001-10-16 00:00:00-04:00,5.920000076293945,5.920000076293945,5.679999828338623,5.679999828338623,213,0.0,0.0
2001-10-17 00:00:00-04:00,5.599999904632568,6.0,5.599999904632568,6.0,2138,0.0,0.0
2001-10-18 00:00:00-04:00,5.599999904632568,6.0,5.599999904632568,5.679999828338623,675,0.0,0.0
2001-10-19 00:00:00-04:00,6.0,6.0,5.599999904632568,6.0,2088,0.0,0.0
2001-10-22 00:00:00-04:00,5.840000152587891,6.159999847412109,5.840000152587891,6.0,1300,0.0,0.0
2001-10-23 00:00:00-04:00,5.360000133514404,5.920000076293945,5.360000133514404,5.920000076293945,1300,0.0,0.0
2001-10-24 00:00:00-04:00,5.920000076293945,5.920000076293945,4.800000190734863,4.880000114440918,1163,0.0,0.0
2001-10-25 00:00:00-04:00,4.880000114440918,5.360000133514404,4.800000190734863,5.360000133514404,425,0.0,0.0
